timestamp,temp,humidity,pressure,pop,description
2026-04-07 09:40:19,31.79,69,1011,0,mist
2026-04-07 18:00:06,30.56,78,1007,0,few clouds
2026-04-08 06:00:06,28.68,87,1009,0,mist
2026-04-08 18:00:05,30.59,80,1008,0,scattered clouds
2026-04-09 06:00:05,29.17,88,1010,0,mist
2026-04-09 18:00:02,31.14,78,1008,0,scattered clouds
2026-04-10 06:00:02,28.87,88,1011,0,mist
2026-04-10 18:00:03,30.62,82,1009,0,few clouds
2026-04-11 06:00:01,28.09,89,1011,0,mist
2026-04-11 18:31:05,30.56,79,1008,0,overcast clouds
2026-04-12 06:00:02,28.08,87,1009,0,mist
2026-04-12 18:00:06,30.72,74,1008,0,few clouds
2026-04-13 06:00:05,28.13,86,1010,0,mist
2026-04-13 18:00:02,31.03,73,1009,0,few clouds
2026-04-14 06:00:00,27.3,88,1010,0,mist
2026-04-14 18:00:02,31.71,69,1008,0,few clouds
2026-04-15 06:00:01,28.37,86,1009,0,scattered clouds
2026-04-15 18:00:05,31.13,79,1006,0,clear sky
2026-04-16 06:00:05,28.71,88,1008,0,scattered clouds
2026-04-16 18:00:04,31.21,77,1006,0,few clouds
2026-04-17 06:00:04,28.72,87,1009,0,scattered clouds
2026-04-17 18:00:04,31.13,76,1008,0,overcast clouds
2026-04-18 06:00:04,29.16,86,1009,0,mist
2026-04-18 08:36:32,30.22,80,1010,0,scattered clouds
2026-04-18 18:00:04,30.58,73,1008,0,overcast clouds
2026-04-19 06:00:05,27.58,88,1008,0,few clouds
2026-04-19 18:00:03,31.21,73,1007,0,clear sky
2026-04-20 06:00:05,28.71,86,1009,0,scattered clouds
2026-04-20 18:00:04,31.21,75,1006,0,few clouds
2026-04-21 06:00:05,28.08,89,1009,0,mist
2026-04-21 18:00:05,31.13,74,1005,0,clear sky
2026-04-22 06:00:02,28.59,89,1009,0,mist
2026-04-22 18:00:04,31.82,69,1006,0,few clouds
2026-04-23 06:00:02,28.13,87,1008,0,mist
2026-04-23 18:00:04,31.49,70,1006,0,clear sky
2026-04-24 06:00:02,28.66,87,1007,0,few clouds
2026-04-24 18:00:05,31.69,71,1007,0,few clouds
2026-04-25 06:00:05,29.16,87,1008,0,scattered clouds
2026-04-25 18:00:04,31.81,74,1008,0,few clouds
2026-04-26 06:00:05,27.79,90,1009,0,mist
2026-04-26 18:00:04,31.35,71,1007,0,scattered clouds
2026-04-27 06:00:04,27.79,90,1007,0,mist
2026-04-27 18:00:06,31.14,77,1005,0,clear sky
2026-04-28 06:00:02,28.57,89,1007,0,mist
2026-04-28 18:00:06,31.81,72,1005,0,scattered clouds
2026-04-29 06:00:01,29.47,86,1008,0,mist
2026-04-29 18:00:05,31.67,79,1005,0,clear sky
2026-04-30 06:00:05,29.98,86,1008,0,mist
2026-04-30 18:00:03,31.81,80,1006,0.12,few clouds
2026-05-01 06:00:01,30.27,68,1008,0.83,mist
2026-05-01 18:00:01,32.49,74,1005,0,clear sky
2026-05-02 06:00:04,30.28,85,1006,0,few clouds
2026-05-02 18:00:04,32.91,76,1004,0,scattered clouds
2026-05-02 22:51:35,32.19,77,1006,0,few clouds
2026-05-03 06:00:01,30.77,66,1007,0.78,haze
2026-05-03 18:00:00,33.54,63,1004,0,overcast clouds
2026-05-04 06:00:00,28.94,74,1006,0,mist
2026-05-04 18:00:05,31.46,73,1005,0.33,few clouds
2026-05-05 06:00:04,29.17,69,1008,0,mist
2026-05-05 09:15:16,31.53,64,1009,0,broken clouds
2026-05-05 18:00:00,30.62,79,1005,0,mist
2026-05-06 06:00:04,28.86,88,1007,0,mist
2026-05-06 18:00:00,30.9,77,1006,0,clear sky
2026-05-07 06:00:05,29.24,84,1008,0.64,scattered clouds
2026-05-07 18:00:02,31.19,77,1007,0,scattered clouds
2026-05-08 06:00:04,29.28,84,1008,0.88,mist
2026-05-08 18:00:04,30.09,78,1007,0.88,mist
2026-05-09 06:00:01,26.69,94,1008,0.84,scattered clouds
2026-05-09 18:00:01,28.83,87,1007,0.89,broken clouds
2026-05-10 06:13:39,27.18,92,1008,0.49,mist
2026-05-10 18:00:05,30.6,75,1006,0,mist
2026-05-11 06:00:03,27.8,89,1006,0,mist
2026-05-11 18:00:02,30.72,75,1006,0,scattered clouds
2026-05-12 06:04:08,27.8,88,1006,0,mist
2026-05-12 18:00:05,31.7,71,1004,0,scattered clouds
2026-05-13 06:07:17,28.13,88,1005,0,mist
2026-05-13 18:07:30,31.72,71,1003,0,scattered clouds
2026-05-14 06:09:29,28.32,88,1002,0,mist
2026-05-14 18:00:05,32.32,69,1002,0,haze
2026-05-15 06:00:05,29.18,86,1004,0.03,mist
2026-05-15 18:13:06,27.79,88,1003,0,mist
